id,review,seller_responsivity,shipping_&_packaging,product_quality,spamming
4761,"Barang sampai dgn selamat, packing bagus n rapi. Terima kasih",0.0,1.0,0.0,0.0
1960,lumayan bagus ..... yg penting anak seneng,0.0,0.0,1.0,0.0
2511,Oooookkkkkllllaaaaahhhhhh...!!!!,0.0,0.0,0.0,1.0
7145,Sedikit beda dengan yg di foto...terimakasih,0.0,0.0,1.0,0.0
8574,Bagus dan sesuai dengan deskripsi,0.0,0.0,1.0,0.0
1706,"Alhamdulillah mukenanya sudah diterima dengan baik,mukenanya bagus saya suka.terima kasih",0.0,0.0,1.0,0.0
931,"Barang sudah diterima,kualitas mantap..tinggal pasang saja.semoga mantap",0.0,0.0,1.0,0.0
2231,"Top dah buat tokonya.... 
Sangat cepat sampai tujuan... Salam sukses",0.0,1.0,0.0,0.0
3459,Pesanan sudah diterima.. terima kasih,0.0,0.0,0.0,1.0
2430,"barang bagus sesuai foto,packaging rapi,pengiriman cepat,perfect😍,next mau order lagi😊",0.0,1.0,1.0,0.0
10413,Biar bintang yg berbicara,0.0,0.0,0.0,1.0
4071,cukup bintang yang berbicara *****,0.0,0.0,1.0,0.0
95,"Pengiriman tidak sesuai chat. !harusnya dikirim hari ini, dikirim besoknya",0.0,1.0,0.0,0.0
4145,Produk sesuai gambar. Responnya cepat. Trims ya! ,1.0,0.0,1.0,0.0
4490,Sdh sampe barangnya Terima kasih,0.0,0.0,0.0,1.0
1683,Barang bagus sesuai dng gambar,0.0,0.0,1.0,0.0
7570,ok barang sampe dengan baik...tngks,0.0,1.0,0.0,0.0
5766,Sippppppp lahhhhhhhnnnnnnnnnnnnnhhhhh,0.0,0.0,0.0,1.0
246,Barang sesuai dan bagus ,0.0,0.0,1.0,0.0
3037,Mantaabblah cukup sesuai harga,0.0,0.0,1.0,0.0
110,"Barang nya cukup bagus n packing rapi, pengiriman cepat",0.0,1.0,1.0,0.0
4328,"awalnya ragu, tapi benar benar sesuai",0.0,0.0,0.0,1.0
1186,Proses pengiriman barangnya agak lama dari pihak toko ke jasa kirim tapi OK kualitasnya,0.0,1.0,1.0,0.0
328,"Recommended seller banget nih, barang mantap, harga mantap, kualitas mantap yg nyari buku jgn ragu untuk beli di toko ini dah",1.0,0.0,1.0,0.0
3180,Barang sesuai diskripsi terima kasih,0.0,0.0,1.0,0.0
8609,Barang diterima dengan baik dan sudah dipakai... mantap,0.0,1.0,0.0,0.0
8536,"Dengan harga murah, kualitas lumayan",0.0,0.0,1.0,0.0
8629,Barang ok &amp; cepat sampai,0.0,1.0,1.0,0.0
2218,Produknya cantik dan tdk cacat,0.0,0.0,1.0,0.0
6165,Sudah terpasang dan sangat cucokkk,0.0,0.0,1.0,0.0
3264,Barang sudah sampai. Packaging rapih. Terima kasih,0.0,1.0,0.0,0.0
1127,"barang sesuai deskripsi, pengiriman cepat, ",0.0,1.0,1.0,0.0
2017,"quick respond..., Barang dah sampe",1.0,0.0,0.0,0.0
1533,"barang bagus,  pengiriman cepat. thanks",0.0,1.0,1.0,0.0
1935,makasihh anak saya sukaaa... packing oke.. meski hanya boneka tangan.. :),0.0,1.0,0.0,0.0
994,Mantaaaaaaaaaaaaaaaaaaaaap,0.0,0.0,0.0,1.0
9935,"packing rpih, pengiriman cepat sesuai pesanan",0.0,1.0,1.0,0.0
4197,sudah diterima dengan baik cuma spek monitor tidak sesuai dengan deskripsi. makasih gan..,0.0,1.0,1.0,0.0
8020,Sipppp okeeeeeeeeeeeee,0.0,0.0,0.0,1.0
7996,"Pesan bayar tgl 26 apr pagi, seller kirim tgl 26 sore, brg sampai tgl 2 mei, salah jne sih, tapi jd kesel juga. Maaf gan bintang kurang 1ya.",0.0,1.0,0.0,0.0
2301,Pokonya bintang 5 untuk toko iniii👍,0.0,0.0,0.0,1.0
199,Bahan lembut &amp; nyaman dipakai...,0.0,0.0,1.0,0.0
3087,Pengiriman cepat rwcomended seller,1.0,1.0,0.0,0.0
9993,"Barang sesuai dgn deskripsi,pengiriman cepat,Trimakasih ......",0.0,1.0,1.0,0.0
7510,"pelayanan bagus fast respond barang legit, yang saya kecewa cuman keterlambatan masukin nomor resi, sisanya sih mantep",1.0,1.0,1.0,0.0
9024,Recommendeeeeeed bgt....thank u,0.0,0.0,1.0,0.0
255,"Pengiriman cepat dan rapi. Barang sesuai
",0.0,1.0,1.0,0.0
6554,"blm dipasang, semoga bisa pas",0.0,0.0,1.0,0.0
1938,mantaaaaaaaaaaaaaaaap bro/sist,0.0,0.0,0.0,1.0
138,Barang sudah diterima dgn baik. Thank you,0.0,1.0,0.0,0.0
2508,"Pengiriman cepat, barang sesuai yg diharapkan..",0.0,1.0,1.0,0.0
5586,Good shop deh .penjual ramah n aktif . Manfaatny jg luar biasa ,1.0,0.0,0.0,0.0
4890,Mantap barang ok harga terjangkau,0.0,0.0,1.0,0.0
2121,"Respon cepat, kualitas produk baik. Semoga awet...",1.0,0.0,1.0,0.0
2000,bocah lagi senang2nya nyanyiin finger songs...semoga anak suka dan awet pastinya. terimakasih,0.0,0.0,0.0,1.0
